department,subject,course number,course name
AAAD,AAAD-A ,100,AF AM DANCE COMPNY FOUNDATIONS
AAAD,AAAD-A ,110,AF AM CHORAL ENSEMBL FOUNDATNS
AAAD,AAAD-A ,113,ATKINS LLC FOUNDATIONAL COURSE
AAAD,AAAD-A ,120,SOUL REVUE FOUNDATIONS
AAAD,AAAD-A ,150,SURV CULTR OF BLACK AMERICANS
AAAD,AAAD-A ,154,HISTORY OF RACE IN AMERICAS
AAAD,AAAD-A ,203,STUDYING BLACKS OF NEW WORLD
AAAD,AAAD-A ,210,BLACK WOMEN IN THE DIASPORA
AAAD,AAAD-A ,238,COMMUNICATION IN BLACK AMERICA
AAAD,AAAD-A ,249,AFRICAN AMERICAN AUTOBIOGRAPHY
AAAD,AAAD-A ,265,MODRN SPORTS & AFRO-AMER EXPER
AAAD,AAAD-A ,295,SURVEY OF HIP HOP
AAAD,AAAD-A ,337,SOUL REVUE ADV STU PRACT
AAAD,AAAD-A ,338,AF AM DANCE CO ADV STDIES PRAC
AAAD,AAAD-A ,339,AACE ADV STU AND PRACT
AAAD,AAAD-A ,352,AFRI AM ART II: AFRI AM ARTISTS
AAAD,AAAD-A ,356,AFRICAN-AMERICAN HISTORY II
AAAD,AAAD-A ,380,CONTEMP BLACK AMER WRITING
AAAD,AAAD-A ,382,"BLACK COMM, LAW, & SOC CHANGE"
AAAD,AAAD-A ,386,BLACK FEMINIST PERSPECTIVES
AAAD,AAAD-A ,398,ADV TPCS IN SOCIAL & HIST AAADS
AAAD,AAAD-A ,399,ADV TPCS ARTS & HUMANITIES AAADS
AAAD,AAAD-A ,420,TRANSFORMNG DIV COMM & SOCIETIES
AAAD,AAAD-A ,481,RACISM AND THE LAW
AAAD,AAAD-A ,499,HONORS THESIS
AAAD,AAAD-A ,561,AFRO-AMERICAN AUTOBIOGRAPHY
AAAD,AAAD-A ,590,SPECIAL TOPICS AFRO-AMER STDS
AAAD,AAAD-A ,599,MA THESIS RESEARCH
AAAD,AAAD-A ,606,"RACE AND GLOBAL CITY, PART II"
AAAD,AAAD-A ,620,TRANSFORMING DIVIDED COMM & SOC
AAAD,AAAD-A ,669,INDEP PROJ BLACK SOCIAL ISSUES
AAAD,AAAD-A ,686,GRAD INTERNSHIP AFRO-AMER STDS
AAAD,AAAD-A ,689,INDEP. PROG. IN BLK LITERATURE
AAAD,AAAD-A ,690,CORE RDGS IN AFRO-AMER STUDIES
AAAD,AAAD-A ,698,FIELD STUDY SEMINAR
AAAD,AAAD-A ,699,INDPT PROJECT IN BLACK MUS
AAAD,AAAD-A ,799,STUDY & RESEARCH ABROAD IN AAADS
AAAD,AAAD-A ,899,PHD DISSERTATION RESEARCH
AAAD,AAAD-G ,599,THESIS RESEARCH
AAAD,AAAD-G ,901,ADVANCED RESEARCH
AAAD,AAAD-X ,373,INTERNSHIP IN AAADS
AAAD,AAAD-X ,490,INDIV READ IN AFR AMER STUDIES
AADM,AADM-Y ,500,TOPICS IN ARTS ADMINISTRATION
AADM,AADM-Y ,504,ARTS ORGS IN PUBL & PRIVT SECT
AADM,AADM-Y ,506,CURATING IN GALLERIES & MUSEUM
AADM,AADM-Y ,508,PERFORMING ARTS ORG MANAGEMENT
AADM,AADM-Y ,530,AUDIENCE DEV & MRKTG THE ARTS
AADM,AADM-Y ,550,PRACTICUM IN ARTS ADMIN
AADM,AADM-Y ,558,FUND DEV FOR NONPROFIT ORGS
AADM,AADM-Y ,559,PUBLIC POLICY AND THE ARTS
AADM,AADM-Y ,680,READINGS IN ARTS ADMIN
AADM,AADM-Y ,690,INDPT STUDY IN ARTS ADMIN
AADM,AADM-Y ,750,INTERNSHIP IN ARTS ADMIN
AAST,AAST-A ,101,INTR TO ASIAN AMERICAN STUDIES
AAST,AAST-A ,300,TPCS IN ASIAN AMERICAN STUDIES
AAST,AAST-A ,320,ADV TOPICS IN ASIAN AMER LIT
AAST,AAST-A ,499,CAPSTONE SEM-ASIAN AMR STUDIES
AAST,AAST-X ,490,IND RD & RSRCH-ASIAN AMR STUDIES
ABEH,ABEH-A ,200,ANIMAL BEHAVIOR WORKSHOP
